지점,station,Date,tavg,tmin,tmax,year
734,완주,2008-01-01,-4.7,-7.2,-0.4,2008
734,완주,2008-01-02,-2.7,-8.0,2.9,2008
734,완주,2008-01-03,0.4,-4.7,7.0,2008
734,완주,2008-01-04,-0.5,-4.9,6.1,2008
734,완주,2008-01-05,-0.2,-4.5,7.2,2008
734,완주,2008-01-06,2.0,-3.3,10.0,2008
734,완주,2008-01-07,3.3,-1.8,9.5,2008
734,완주,2008-01-08,3.1,-0.4,7.1,2008
734,완주,2008-01-09,1.8,-2.5,11.1,2008
734,완주,2008-01-10,2.8,-3.0,8.7,2008
734,완주,2008-01-11,4.1,1.9,5.2,2008
734,완주,2008-01-12,3.2,0.5,6.3,2008
734,완주,2008-01-13,-2.0,-4.4,1.0,2008
734,완주,2008-01-14,-1.3,-4.8,4.1,2008
734,완주,2008-01-15,-2.6,-7.0,3.0,2008
734,완주,2008-01-16,-4.7,-8.0,0.7,2008
734,완주,2008-01-17,-5.6,-12.1,0.0,2008
734,완주,2008-01-18,-4.1,-10.3,2.7,2008
734,완주,2008-01-19,-1.3,-7.6,4.7,2008
734,완주,2008-01-20,0.8,-1.0,3.9,2008
734,완주,2008-01-21,3.0,0.2,4.6,2008
734,완주,2008-01-22,1.9,0.8,3.3,2008
734,완주,2008-01-23,-0.8,-4.7,2.3,2008
734,완주,2008-01-24,-5.1,-8.1,-0.6,2008
734,완주,2008-01-25,-4.4,-9.4,0.6,2008
734,완주,2008-01-26,-2.6,-7.1,4.3,2008
734,완주,2008-01-27,-3.2,-9.4,4.3,2008
734,완주,2008-01-28,-1.6,-5.1,1.2,2008
734,완주,2008-01-29,-0.7,-4.2,4.0,2008
734,완주,2008-01-30,-1.8,-7.3,2.4,2008
734,완주,2008-01-31,-4.2,-9.0,2.5,2008
734,완주,2008-02-01,-3.6,-10.5,4.0,2008
734,완주,2008-02-02,-0.9,-4.3,5.8,2008
734,완주,2008-02-03,-2.3,-6.4,4.0,2008
734,완주,2008-02-04,,-6.9,3.1,2008
734,완주,2008-02-05,-4.1,-9.2,1.2,2008
734,완주,2008-02-06,-3.4,-7.9,2.5,2008
734,완주,2008-02-07,-4.3,-9.1,1.6,2008
734,완주,2008-02-08,-3.5,-9.5,3.9,2008
734,완주,2008-02-09,-3.3,-6.8,1.9,2008
734,완주,2008-02-10,-2.1,-9.6,5.9,2008
734,완주,2008-02-11,0.0,-5.8,6.1,2008
734,완주,2008-02-12,-4.4,-8.0,-0.3,2008
734,완주,2008-02-13,-5.7,-13.0,1.7,2008
734,완주,2008-02-14,-2.6,-8.5,3.7,2008
734,완주,2008-02-15,-2.5,-7.4,3.2,2008
734,완주,2008-02-16,-3.7,-10.7,4.0,2008
734,완주,2008-02-17,-3.4,-9.7,4.3,2008
734,완주,2008-02-18,-3.0,-9.9,5.7,2008
734,완주,2008-02-19,-1.6,-8.7,7.0,2008
734,완주,2008-02-20,1.8,-4.5,10.0,2008
734,완주,2008-02-21,0.6,-7.4,10.8,2008
734,완주,2008-02-22,4.8,-3.6,13.1,2008
734,완주,2008-02-23,-1.1,-5.6,4.8,2008
734,완주,2008-02-24,-2.4,-9.6,6.8,2008
734,완주,2008-02-25,-0.4,-5.9,4.4,2008
734,완주,2008-02-26,0.3,-1.6,2.5,2008
734,완주,2008-02-27,-0.7,-7.6,8.1,2008
734,완주,2008-02-28,0.1,-6.6,8.1,2008
734,완주,2008-02-29,2.7,-3.9,11.2,2008
734,완주,2008-03-01,1.0,-5.0,9.0,2008
734,완주,2008-03-02,4.2,-2.9,10.9,2008
734,완주,2008-03-03,2.6,-4.0,7.2,2008
734,완주,2008-03-04,0.0,-6.3,6.2,2008
734,완주,2008-03-05,0.8,-5.6,8.9,2008
734,완주,2008-03-06,1.3,-4.7,8.9,2008
734,완주,2008-03-07,1.8,-4.2,10.8,2008
734,완주,2008-03-08,2.9,-5.7,12.5,2008
734,완주,2008-03-09,4.5,-1.4,13.2,2008
734,완주,2008-03-10,4.3,-3.3,12.5,2008
734,완주,2008-03-11,9.4,0.4,18.1,2008
734,완주,2008-03-12,10.0,1.1,19.9,2008
734,완주,2008-03-13,9.9,4.5,15.2,2008
734,완주,2008-03-14,7.8,0.6,15.8,2008
734,완주,2008-03-15,8.3,-1.3,17.0,2008
734,완주,2008-03-16,8.3,1.4,15.9,2008
734,완주,2008-03-17,7.6,-3.7,19.6,2008
734,완주,2008-03-18,10.3,0.8,20.1,2008
734,완주,2008-03-19,11.0,5.5,20.2,2008
734,완주,2008-03-20,10.2,3.2,19.7,2008
734,완주,2008-03-21,10.1,-0.3,21.6,2008
734,완주,2008-03-22,10.3,4.2,16.2,2008
734,완주,2008-03-23,8.3,5.8,11.6,2008
734,완주,2008-03-24,8.5,4.4,15.2,2008
734,완주,2008-03-25,4.9,-1.1,10.5,2008
734,완주,2008-03-26,5.0,-1.0,10.8,2008
734,완주,2008-03-27,5.9,0.0,13.7,2008
734,완주,2008-03-28,6.2,-1.3,13.4,2008
734,완주,2008-03-29,8.4,3.8,14.2,2008
734,완주,2008-03-30,8.5,6.1,13.4,2008
734,완주,2008-03-31,6.4,1.2,13.1,2008
734,완주,2008-04-01,7.6,0.8,14.6,2008
734,완주,2008-04-02,8.4,3.0,14.7,2008
734,완주,2008-04-03,8.0,0.1,15.8,2008
734,완주,2008-04-04,9.9,1.0,18.9,2008
734,완주,2008-04-05,12.3,3.8,21.7,2008
734,완주,2008-04-06,14.2,4.1,25.7,2008
734,완주,2008-04-07,11.1,6.8,16.3,2008
734,완주,2008-04-08,13.7,4.7,24.0,2008
734,완주,2008-04-09,12.5,9.3,16.6,2008
734,완주,2008-04-10,12.7,8.4,18.5,2008
734,완주,2008-04-11,11.8,4.4,21.5,2008
734,완주,2008-04-12,13.3,5.3,19.9,2008
734,완주,2008-04-13,12.2,8.1,16.7,2008
734,완주,2008-04-14,11.7,6.4,22.0,2008
734,완주,2008-04-15,14.3,4.0,24.0,2008
734,완주,2008-04-16,15.2,8.1,23.5,2008
734,완주,2008-04-17,16.0,10.3,21.5,2008
734,완주,2008-04-18,16.0,8.3,25.7,2008
734,완주,2008-04-19,16.5,6.5,29.2,2008
734,완주,2008-04-20,17.4,6.8,24.9,2008
734,완주,2008-04-21,18.2,13.2,25.6,2008
734,완주,2008-04-22,17.4,12.3,25.8,2008
734,완주,2008-04-23,11.0,5.7,14.6,2008
734,완주,2008-04-24,8.5,1.6,15.7,2008
734,완주,2008-04-25,13.1,1.5,21.7,2008
734,완주,2008-04-26,9.4,5.4,12.2,2008
734,완주,2008-04-27,9.5,3.0,17.1,2008
734,완주,2008-04-28,12.7,2.2,23.1,2008
734,완주,2008-04-29,16.2,6.4,25.6,2008
734,완주,2008-04-30,18.6,12.5,27.4,2008
734,완주,2008-05-01,19.2,11.1,28.7,2008
734,완주,2008-05-02,19.7,11.3,29.5,2008
734,완주,2008-05-03,20.7,11.2,30.8,2008
734,완주,2008-05-04,17.7,13.3,22.6,2008
734,완주,2008-05-05,15.6,7.0,23.3,2008
734,완주,2008-05-06,15.6,4.5,26.3,2008
734,완주,2008-05-07,17.1,6.6,26.8,2008
734,완주,2008-05-08,18.0,10.7,25.8,2008
734,완주,2008-05-09,18.6,13.6,23.2,2008
734,완주,2008-05-10,16.3,11.0,21.8,2008
734,완주,2008-05-11,14.6,6.0,24.5,2008
734,완주,2008-05-12,14.6,8.3,22.8,2008
734,완주,2008-05-13,12.3,8.2,17.4,2008
734,완주,2008-05-14,12.8,7.2,20.1,2008
734,완주,2008-05-15,14.2,4.9,22.0,2008
734,완주,2008-05-16,14.9,8.7,22.0,2008
734,완주,2008-05-17,16.6,6.5,26.0,2008
734,완주,2008-05-18,17.7,12.1,23.8,2008
734,완주,2008-05-19,14.8,8.9,21.2,2008
734,완주,2008-05-20,13.6,6.4,20.3,2008
734,완주,2008-05-21,18.4,8.8,27.4,2008
734,완주,2008-05-22,20.5,11.8,27.3,2008
734,완주,2008-05-23,20.9,15.8,27.2,2008
734,완주,2008-05-24,20.8,15.8,25.8,2008
