year,station,dvs,mdvr,cd,obj
2004,wanju,1900-04-13,1900-04-17,1900-04-21,
2005,wanju,1900-04-19,1900-04-25,1900-04-29,
2006,wanju,1900-04-17,1900-04-26,1900-05-01,
2007,wanju,1900-04-12,1900-04-21,1900-04-22,
2008,wanju,1900-04-17,1900-04-19,1900-04-22,
2009,wanju,1900-04-12,1900-04-18,1900-04-21,
2010,wanju,1900-04-13,1900-04-26,1900-05-03,
2011,wanju,1900-04-26,1900-04-29,1900-05-04,
2012,wanju,1900-04-25,1900-04-28,1900-05-02,
2013,wanju,1900-04-19,1900-04-27,1900-05-04,
2014,wanju,1900-04-10,1900-04-15,1900-04-20,
2015,wanju,1900-04-15,1900-04-18,1900-04-24,
2016,wanju,1900-04-07,1900-04-12,1900-04-17,
2017,wanju,1900-04-16,1900-04-21,1900-04-26,1900-04-16
2018,wanju,1900-04-10,1900-04-16,1900-04-21,1900-04-10
2019,wanju,1900-04-20,1900-04-22,1900-04-28,1900-04-17
2020,wanju,1900-04-04,1900-04-22,1900-04-28,1900-04-13
2021,wanju,1900-03-26,1900-04-10,1900-04-12,1900-04-05
2022,wanju,1900-04-12,1900-04-17,1900-04-21,1900-04-11
2023,wanju,1900-04-03,1900-04-11,1900-04-16,1900-04-03
2024,wanju,1900-04-02,1900-04-13,1900-04-14,1900-04-06
