시도별,농가수(호),면적(ha),판매량(천본_분_주),판매액(천원)
합계,"7,069","4,299.20","746,403","526,900,335"
서울,103,13.4,"1,287","4,781,610"
부산,368,144.4,"51,676","36,918,453"
대구,62,24.9,"6,653","6,099,151"
인천,40,18.1,"13,260","6,257,888"
광주,51,34.1,"9,073","5,983,193"
대전,38,12.1,"1,993","3,561,870"
울산,35,9.5,896,"2,424,365"
세종,54,66.9,"5,569","2,354,080"
경기,"2,153",861.2,"261,380","222,222,526"
강원,160,148.5,"27,924","14,254,975"
충북,270,155.4,"43,904","29,242,468"
충남,577,403.6,"58,814","35,210,567"
전북,587,525.3,"38,760","18,481,233"
전남,"1,254",846,"84,750","67,133,400"
경북,312,241.6,"39,509","20,187,424"
경남,881,668.4,"92,551","45,017,065"
제주,124,125.7,"8,404","6,770,069"
